宾	bbooui
泊	plauia
渤	blauoo
浡	blauoo
剥	blavii
剥	bzavii
擘	blaviu
檗	blavvv
播	bliuuo
嶓	bliauo
薄	bliiav
薄	bziiav
菠	bliiaa
蕃	bliiuo
蕃	ffiiuo
钵	bliovi
铂	blioui
钹	bliovu
镈	bliovi
搏	bliuvi
跛	bloiau
跛	ploiau
啵	bloaau
袯	bloaau
踣	bloiov
亳	blovuv
博	bluovi
饽	bluauo
鲌	bluaui
鲌	bsuaui
帛	bluiia
魄	bluiui
魄	pluiui
魄	tluiui
勃	bluoau
勃	bwuoau
鹁	bluoua
脖	bluuoo
舶	bluuui
膊	bluvia
箔	bluvau
馞	bluvuo
簸	bluvvi
玻	blvvau
僰	blvivi
欂	blviia
礴	blvuii
桲	blvuoo
磻	blvuuo
磻	pfvuuo
砵	blvuvi
变	bmovao
边	bmauoa
编	bmaaoa
缏	bmaaiv
贬	bmaouo
𨚕	bmaoai
汴	bmaovi
弁	bmaovu
便	bmivia
便	pmivia
蝙	bmiaoa
苄	bmiiov
萹	bmiioa
抃	bmiuov
遍	bmoaoa
扁	bmoaia
扁	pmoaia
褊	bmoaoa
昪	bmoiao
窆	bmoouo
忭	bmooov
煸	bmouoa
辩	bmovoa
辫	bmovaa
卞	bmovio
辨	bmovou
笾	bmuvau
鳊	bmuaoa
鞭	bmviiv
匾	bmvoav
砭	bmvuuo
碥	bmvuoa
本	bnviuo
畚	bnaoia
苯	bniivi
锛	bniovu
倴	bnivuo
笨	bnuvvi
坌	bnuovo
犇	bnuvuv
奔	bnvuuo
栟	bnvouv
坋	bnvouo
帮	bpvvia
绑	bpaavv
浜	bpauiv
镑	bpioov
蚌	bpiavv
蚌	briavv
蒡	bpiiov
傍	bpiovo
搒	bpiuov
谤	bpoaov
𠳐	bpovvu
膀	bpuovo
膀	ppuovo
邦	bpvvai
榜	bpvovo
塝	bpvoov
彭	bpvouu
彭	prvouu
棓	bpvovo
磅	bpvuov
磅	ppvuov
棒	bpvvvv
梆	bpvvvv
玤	bpvvvv
蹦	broiia
绷	braauu
崩	briauu
镚	brioia
迸	brouoa
祊	broaov
嘣	broiai
甭	brvuua
堋	brvouu
堋	prvouu
甏	brvova
泵	brvuaa
琫	brvvvv
把	bsiuai
巴	bsaiva
妭	bsauvu
灞	bsavoa
拔	bsiuvu
罢	bsiavo
罢	pkiavo
岜	bsiaai
蚆	bsiaai
芭	bsiiai
芭	psiiai
菝	bsiiiu
茇	bsiivu
钯	bsioai
钯	psioai
扒	bsiuuo
扒	psiuuo
捌	bsiuoa
吧	bsoaiv
跋	bsoivu
叭	bsouoo
叭	psouoo
粑	bsouai
羓	bsouai
疤	bsovai
鲅	bsuavu
鲃	bsuaai
魃	bsuivu
爸	bsuoai
笆	bsuvai
胈	bsuvua
霸	bsvovi
靶	bsviai
坝	bsvoao
朳	bsvuoo
耙	bsvvai
耙	psvvai
被	bwoaau
被	pkoaau
陂	bwaiau
陂	pkaiau
陂	plaiau
鐾	bwavio
北	bwivua
蓓	bwiiio
倍	bwiovo
钡	bwioao
背	bwivuu
邶	bwivai
悲	bwivoa
辈	bwivva
褙	bwoaiv
悖	bwoouo
焙	bwouov
糒	bwouvi
备	bwuaia
惫	bwuaoa
狈	bwuaao
卑	bwuiuo
鹎	bwuiua
孛	bwuoai
杯	bwvvui
鞴	bwvivi
鞁	bwviai
碑	bwvuui
椑	bwvuia
碚	bwvuov
琲	bwvviv
报	bziuai
孢	bzaiua
瀑	bzaoiv
瀑	pjaoiv
保	bziovv
葆	bziiio
苞	bziiua
煲	bzioou
抱	bziuua
龅	bzivua
宝	bzoovv
褓	bzoaio
暴	bzoivi
暴	pjoivi
曝	bzoioi
曝	pjoioi
趵	bzoiua
爆	bzouoi
炮	bzouua
炮	pzouua
褒	bzovio
包	bzuaav
饱	bzuaua
刨	bzuaii
刨	pzuaii
鲍	bzuaua
鲍	pzuaua
鸨	bzuaua
豹	bzuoua
胞	bzuuaa
雹	bzvoua
枹	bzvuaa
催	cbiiai
翠	cbaoov
缞	cbaaov
漼	cbaiai
淬	cbaovi
崔	cbiaio
萃	cbiiov
摧	cbiuia
啐	cboovi
悴	cbooov
粹	cbouov
瘁	cbovov
衰	cbovia
衰	egovia
脆	cbuuav
毳	cbuvuv
毳	qcuvuv
璀	cbvvia
榱	cbvovi
凑	cdovvv
腠	cduvvv
辏	cdvavv
楱	cdvvvv
测	ceaaoi
侧	ceiaoi
侧	fhiaoi
侧	qhiaoi
恻	ceooao
册	ceuaua
策	ceuvvi
厕	cevuao
栅	cevuau
栅	efvuau
栅	fsvuau
参	cfaouu
参	cnaouu
参	enaouu
参	sfaouu
骖	cfaaao
孱	cfavai
孱	jfavai
餐	cfivio
黪	cfiaao
掺	cfiuao
掺	efiuao
掺	jfiuao
掺	xmiuao
粲	cfivou
惨	cfooao
喰	cfoioa
喰	qkoioa
喰	swoioa
惭	cfoova
灿	cfouia
䅟	cfuvao
残	cfvuvv
蚕	cfvvia
璨	cfvviv
菜	chiiuo
财	chaovi
蔡	chiiua
睬	chiauo
偲	chiiav
踩	choiuo
采	chuovv
猜	chuavv
彩	chuouu
裁	chuoov
材	chvviu
才	chviuu
粗	cjouia
促	cjioiv
蔟	cjiiov
蹴	cjoiov
蹴	jqoiov
蹴	zjoiov
卒	cjovii
卒	zjovii
簇	cjuvov
猝	cjuaov
徂	cjuuia
醋	cjvivi
酢	cjviuv
酢	zlviuv
蹙	cjvuoi
殂	cjvuia
次	ckovua
赐	ckaooi
泚	ckaivi
此	ckivua
伺	ckiavo
伺	skiavo
茨	ckiiov
茲	ckiiaa
茲	zkiiaa
茈	ckiiiv
茈	zkiiiv
莿	ckiivi
佽	ckiovu
雌	ckivio
词	ckoaav
祠	ckoaav
祠	skoaav
呲	ckoivi
呲	zkoivi
跐	ckoiiv
慈	ckouoa
兹	ckouaa
兹	zkouaa
糍	ckouou
鹚	ckouua
差	ckouvi
差	jhouvi
差	wsouvi
瓷	ckovva
疵	ckoviv
辞	ckuvov
刺	ckviii
磁	ckvuou
玼	ckvviv
错	cliovi
搓	cliuou
嵯	cliaou
莝	cliiii
锉	clioii
挫	cliuii
挫	zliuii
撮	cliuoi
撮	zliuoi
措	cliuvi
鹾	clivou
痤	clovii
蹉	cloiou
瘥	clovou
瘥	jhovou
矬	cluvii
脞	cluiiv
酂	cluvai
磋	clvuou
厝	clvuvi
瑳	clvvou
岑	cniaio
涔	cnaiai
藏	cpiivu
藏	zpiivu
沧	cpaiaa
仓	cpiaaa
鸧	cpiaua
苍	cpiiia
伧	cpiiaa
伧	jniiaa
舱	cpuuia
臧	cpvuvi
臧	zpvuvi
曾	crouia
曾	zrouia
层	cravvv
嶒	criaou
蹭	croiou
噌	crooui
擦	csiuoo
拆	csiuuu
拆	jhiuuu
嚓	csoooa
嚓	wsoooa
礤	csvuii
窜	ctooia
攒	ctiuuv
攒	zfiuuv
镩	ctiooo
撺	ctiuoo
蹿	ctoioo
篡	ctuvia
爨	ctuivv
汆	ctuoaa
存	cwvuai
皴	cwaoau
忖	cwoovi
蹲	cwoiou
蹲	dwoiou
蹲	zwoiou
吋	cwovio
村	cwvvio
邨	cwvaai
寸	cwvioo
从	cyiiii
淙	cyaooa
骢	cyaaui
丛	cyiivv
葱	cyiiua
苁	cyiiii
悰	cyoooo
熜	cyouui
匆	cyuauu
囱	cyuiua
聪	cyviou
枞	cyviii
枞	zyviii
琮	cyvvoo
璁	cyvvui
草	cziioi
漕	czavia
屮	czaiii
操	cziuoo
螬	cziavi
糙	czouuv
嘈	czovia
艚	czuuvi
肏	czuoia
曹	czvioi
𥕢	czvuvi
槽	czvvia
对	dbaovi
队	dbaiii
怼	dbaooa
镦	dbioov
镦	dwioov
㨃	dbiuov
㨃	jriuov
兑	dbouua
祋	dboaua
憝	dbovoa
敦	dbovuv
敦	dwovuv
追	dbuioa
追	fbuioa
堆	dbvoio
㙂	dbvoou
碓	dbvuio
掉	dciuiv
汈	dcaavv
屌	dcavoi
钓	dcioua
铞	dciooi
铫	dciouo
铫	yziouo
调	dcoaua
调	tcoaua
叼	dcoavv
吊	dcoiai
窎	dcooua
凋	dcovua
雕	dcuaio
鸟	dcuaoa
鸟	ncuaoa
鲷	dcuaua
貂	dcuoau
碉	dcvuua
都	dduoai
都	djuoai
陡	ddaivo
绖	ddaava
叠	ddaoia
抖	ddiuoo
蝶	ddiavi
蚪	ddiaoo
螲	ddiaoo
螲	fkiaoo
蔸	ddiiui
钭	ddiooo
揲	ddiuvi
揲	eeiuvi
佚	ddiuvv
佚	ykiuvv
斗	ddoouo
谍	ddoavi
读	ddoauo
读	djoauo
跌	ddoiuv
昳	ddoiuv
昳	ykoiuv
蹀	ddoivi
窦	ddoouo
痘	ddovvo
咥	ddovao
喋	ddovii
喋	fsovii
兜	dduiua
鲽	dduavi
牒	dduivi
爹	dduoua
䏲	dduoua
耋	dduova
瓞	dduuuv
迭	dduvoa
篼	dduvui
豆	ddvoou
逗	ddvooa
堞	ddvovi
垤	ddvova
碟	ddvuvi
楪	ddvvii
得	deuuoi
得	dwuuoi
锝	deiooi
嘚	deouui
德	deuuuo
的	deuiua
的	dkuiua
地	devoai
地	dkvoai
但	dfioiv
弹	dfavou
弹	tfavou
蛋	dfaiia
疍	dfaioi
淡	dfaoui
赕	dfaoou
澹	dfauav
澹	tfauav
担	dfiuoi
眈	dfiaoa
萏	dfiiua
掸	dfiuou
掸	efiuou
儋	dfiuav
单	dfouia
单	efouia
单	jfouia
诞	dfoaui
旦	dfoivv
惮	dfooou
惮	dsooou
啖	dfooui
憺	dfooua
郸	dfouai
疸	dfovoi
亶	dfovia
瘅	dfovou
丹	dfuaov
胆	dfuoiv
膻	dfuovi
膻	efuovi
氮	dfuvou
箪	dfuvou
耽	dfvioa
聃	dfviia
石	dfvuoo
石	ekvuoo
殚	dfvuou
定	dgoovi
盯	dgiavi
鼎	dgiaav
町	dgiavi
町	tgiavi
萣	dgiioo
钉	dgiovi
锭	dgiooo
铤	dgiouv
铤	tgiouv
仃	dgivii
订	dgoavi
啶	dgoooa
叮	dgovii
疔	dgovvi
腚	dguooa
顶	dgvivu
酊	dgvivi
耵	dgvivi
碇	dgvuoo
玎	dgvvvi
代	dhivao
逮	dhavoa
绐	dhaaao
骀	dhaaao
骀	thaaao
怠	dhaooa
迨	dhaooa
袋	dhivov
贷	dhivao
黛	dhivia
岱	dhivia
傣	dhivvv
垈	dhivvo
诒	dhoaao
诒	ykoaao
呔	dhovuo
呔	thovuo
待	dhuuvo
戴	dhuoia
带	dhviia
轪	dhvavu
棣	dhvavv
棣	dkvavv
棣	tkvavv
埭	dhvoav
歹	dhvuao
殆	dhvuao
大	dhvuoo
大	dsvuoo
玳	dhvviv
叇	dhvvav
甙	dhvvii
渡	djaovu
赌	djaouo
妒	djauoa
渎	djauoa
厾	djavoa
督	djivia
睹	djiauo
髑	djiaia
黩	djiauo
芏	djiivo
镀	djioov
度	djovao
度	dlovao
阇	djoiuo
嘟	djouov
独	djuaia
牍	djuiuo
肚	djuvoo
笃	djuvaa
犊	djuvuo
毒	djvvaa
蠹	djviia
堵	djvouo
椟	djvuoa
杜	djvvoo
滴	dkaovo
缔	dkaaov
翟	dkaoio
翟	fhaoio
翟	qhaoio
涤	dkauao
嫡	dkauov
娣	dkauou
媂	dkauov
低	dkiuav
迪	dkiaoa
睇	dkiaou
骶	dkiaua
䗖	dkiavi
蒂	dkiiov
荻	dkiiua
菂	dkiiui
镝	dkioov
俤	dkioua
抵	dkiuua
提	dkiuoi
提	tkiuoi
底	dkovua
谛	dkoaov
禘	dkoaov
诋	dkoaua
踶	dkoioi
蹢	dkoiov
蹢	fkoiov
嘀	dkoovo
弟	dkouav
递	dkouoa
羝	dkouua
帝	dkovia
遆	dkovoa
第	dkuvav
狄	dkuaou
邸	dkuaai
氐	dkuava
籴	dkuoou
觌	dkuoia
敌	dkuvuv
笛	dkuvia
堤	dkvooi
髢	dkviai
鞮	dkvioi
坻	dkvoua
坻	wkvoua
砥	dkvuua
柢	dkvuav
碲	dkvuov
䃅	dkvuou
玓	dkvvua
𤧛	dkvvov
杕	dkvvuo
多	dluaua
堕	dlaivo
堕	hbaivo
驮	dlaavu
驮	tlaavu
缍	dlaauv
隳	dlaiii
隳	hbaiii
隋	dlaivu
隋	sbaivu
剟	dlaoii
沲	dlauva
沲	tlauva
铎	dlioao
掇	dliuao
踱	dloiov
咄	dloaii
裰	dloaao
跺	dloiua
惰	dloovu
哆	dlouao
哚	dlouav
亸	dlovou
朵	dluavv
剁	dluaii
饳	dluaai
躲	dluiua
舵	dluuoo
夺	dlvuvi
垛	dlvoua
㙍	dlvoao
柁	dlvooa
柁	tlvooa
埵	dlvouv
点	dmivoo
殿	dmavua
阽	dmaiiv
淀	dmaooa
滇	dmauoi
电	dmiavv
典	dmiauo
巅	dmiauo
佃	dmiiav
佃	tmiiav
钿	dmioia
钿	tmioia
垫	dmiuvo
掂	dmiuov
店	dmoviv
扂	dmoaiv
踮	dmoiov
惦	dmooov
奠	dmouvu
癫	dmovuo
癜	dmovav
颠	dmuovu
甸	dmuaia
簟	dmuvvi
碘	dmvuia
坫	dmvoiv
磹	dmvuvi
玷	dmvviv
靛	dmvvoo
琔	dmvvoo
扽	dniuva
当	dpioav
凼	dpaaii
党	dpioua
蟷	dpiaio
荡	dpiiaa
菪	dpiioo
铛	dpioio
铛	jrioio
铛	tpioio
挡	dpiuio
裆	dpoaio
谠	dpoaio
宕	dpoovu
筜	dpuvio
档	dpviou
𣗋	dpviou
垱	dpvoio
砀	dpvuau
珰	dpvvio
丢	dquvao
铥	dqiouv
等	druvvo
登	draovo
澄	draaou
澄	jraaou
邓	draoai
凳	draoua
瞪	driaao
嶝	driaao
镫	drioao
灯	drouvi
噔	droaou
蹬	droiao
戥	droiva
簦	druvao
磴	drvuao
璒	drvvao
妲	dsauoi
溚	dsaiii
沓	dsaoii
沓	tsaoii
打	dsiuvi
迚	dsiaoa
荙	dsiivu
𨱏	dsioii
搭	dsiuii
瘩	dsovii
褡	dsoaii
嗒	dsoiii
嗒	tsoiii
跶	dsoivu
怛	dsoooi
嗲	dsouou
炟	dsouoi
哒	dsovuo
答	dsuviv
笪	dsuvoi
达	dsvuoa
鞑	dsvivu
靼	dsvioi
垯	dsvovu
耷	dsvuvi
短	dtuvvo
缎	dtaaui
锻	dtioui
耑	dtiavu
断	dtouuu
煅	dtouui
端	dtovia
段	dtuiua
簖	dtuvou
椴	dtvuiv
塅	dtvoui
瑖	dtvvui
顿	dwvavu
沌	dwavai
沌	twavai
钝	dwiova
盹	dwiava
囤	dwiava
囤	twiava
吨	dwovai
蹾	dwoiov
惇	dwooov
炖	dwouva
盾	dwuuuo
遁	dwuuoa
礅	dwvuov
趸	dwvaoi
墩	dwvoov
砘	dwvuva
动	dyvvau
洞	dyaiav
董	dyiiuv
峒	dyiaia
峒	tyiaia
岽	dyiava
侗	dyiiav
侗	tyiiav
懂	dyooii
恫	dyooia
咚	dyouao
冻	dyovva
冬	dyuaoo
胴	dyuiav
胨	dyuvai
氡	dyuvua
东	dyvaiu
鸫	dyvaua
垌	dyvoia
垌	tyvoia
硐	dyvuia
栋	dyvvai
到	dzvaii
导	dzavvi
倒	dzivao
帱	dziavv
帱	wdiavv
捣	dziuua
捯	dziuva
道	dzouoa
祷	dzoavv
叨	dzoauu
叨	tzoauu
蹈	dzoiuo
悼	dzooiv
忉	dzooau
盗	dzovia
岛	dzuaia
鱽	dzuaau
舠	dzuuau
稻	dzuvuo
氘	dzuvui
纛	dzvvia
焘	dzvvoo
焘	tzvvoo
睡	ebiauv
帨	ebiaou
谁	eboaio
谁	ewoaio
说	eboaou
说	eloaou
说	yhoaou
税	ebuvou
收	edaiuv
绶	edaauo
售	ediooo
授	ediuuo
首	edouui
守	edoovi
兽	edouvo
瘦	edovui
熟	edovoo
熟	ejovoo
受	eduoao
狩	eduaoo
艏	eduuou
寿	edvvvi
设	eeoaua
涉	eeaivi
赊	eeaoiv
滠	eeavii
舍	eeivvi
蛇	eeiaoo
蛇	ykiaoo
摄	eeiuvi
摄	ndiuvi
拾	eeiuiv
拾	ekiuiv
折	eeiuuu
折	feiuuu
折	qeiuuu
佘	eeivvi
畲	eeivia
畬	eeivia
歙	eeivua
歙	xkivua
社	eeoavo
慑	eeoovi
麝	eeovui
射	eeuivi
射	yeuivi
射	ykuivi
猞	eeuaiv
舌	eeuvoo
奢	eevuuo
赦	eevouv
厍	eevuva
奓	eevuua
山	efiaii
陕	efaivo
缮	efaaou
骟	efaaoa
汕	efaiai
赡	efaoua
姗	efauua
嬗	efauov
潸	efavvu
擅	efiuov
蟮	efiaou
苫	efiiiv
芟	efiiua
钐	efiouu
掞	efiuoo
善	efouoo
扇	efoaao
讪	efoaia
禅	efoaou
禅	jfoaou
衫	efoauu
闪	efoiii
晱	efoiou
跚	efoiua
煽	efouoa
鄯	efouai
糁	efouao
糁	enouao
糁	sfouao
剡	efouii
剡	yfouii
疝	efovia
颤	efovvu
颤	jfovvu
颤	qfovvu
删	efuaii
鳝	efuaou
鳣	efuaov
鳣	qfuaov
膳	efuouv
舢	efuuia
珊	efvvua
埏	efvoui
埏	yfvoui
墡	efvoou
杉	efvuuu
杉	esvuuu
帅	egiuia
摔	egiuov
蟀	egiaov
率	egovaa
率	llovaa
甩	eguavv
晒	ehoivi
筛	ehuviu
色	ehuaai
色	seuaai
酾	ehvivi
酾	ekvivi
数	ejouuv
书	ejaaio
纾	ejaaao
疏	ejaiov
陎	ejaiuv
淑	ejaivv
赎	ejaouo
恕	ejauoa
婌	ejauiv
姝	ejauuv
属	ejavui
属	qjavui
漱	ejavia
沭	ejavoo
澍	ejavoo
澍	qjavoo
叔	ejivao
署	ejiauo
蜀	ejiaua
墅	ejiavo
竖	ejiiov
蔬	ejiiai
薯	ejiiia
菽	ejiiiv
倏	ejiiua
抒	ejiuao
摅	ejiuiv
舒	ejivao
鄃	ejivai
毹	ejivuv
暑	ejoiuo
曙	ejoiia
糬	ejouia
孰	ejovua
庶	ejovoo
塾	ejovvo
鼠	ejuiao
殳	ejuaao
腧	ejuivu
黍	ejuvia
秫	ejuvvo
树	ejvaov
输	ejvaiv
束	ejviav
述	ejvooa
梳	ejvova
殊	ejvuuv
戍	ejvuoo
枢	ejvvuo
琡	ejvviv
时	ekoivi
始	ekauao
驶	ekaaia
浉	ekaiuv
湿	ekaoii
湜	ekaoiv
虱	ekauia
尸	ekavuu
屎	ekavou
鸤	ekavua
使	ekivia
史	ekiavu
似	ekiaoi
似	skiaoi
峙	ekiavo
峙	fkiavo
畤	ekiavo
畤	fkiavo
畤	wdiavo
莳	ekiioi
蓍	ekiiuo
食	ekioav
食	skioav
食	ykioav
铈	ekioov
师	ekiuvi
势	ekiuau
誓	ekiuov
逝	ekiuoa
什	ekiuoo
什	eniuoo
拭	ekiuvv
仕	ekivoo
侍	ekivov
试	ekoavv
诗	ekoavo
视	ekoaia
识	ekoaou
识	fkoaou
谥	ekoaou
祏	ekoavu
呞	ekoavo
襫	ekoavv
匙	ekoiua
匙	wkoiua
嘘	ekoiva
嘘	xloiva
是	ekoivi
室	ekoova
实	ekoooo
恃	ekoovo
嗜	ekouov
噬	ekouvo
炻	ekouvu
市	ekovia
施	ekovuv
狮	ekuaiu
鲺	ekuaau
蚀	ekuaia
鲥	ekuaoi
饰	ekuauv
氏	ekuava
氏	fkuava
鼫	ekuivu
释	ekuoao
辻	ekuooa
弑	ekuovv
失	ekuvvu
适	ekuvoa
舐	ekuvua
矢	ekuvvu
筮	ekuvvi
䏡	ekuvvi
事	ekviav
轼	ekvavv
世	ekviiv
贳	ekviao
䴓	ekviua
邿	ekvoai
螫	ekvoia
埘	ekvooi
柿	ekvovi
豕	ekvuau
殖	ekvuuo
殖	fkvuuo
式	ekvviv
示	ekvviu
奭	ekvvui
栻	ekvvvi
妁	elauua
铄	elioua
蒴	eliiou
搠	eliuou
烁	elouua
朔	elouuu
槊	elouvv
硕	elvuvu
双	emaoao
双	exaoao
孀	emauvo
孀	exauvo
骦	emaavi
骦	exaavi
泷	emavua
泷	exavua
泷	lyavua
漺	emavuo
漺	exavuo
爽	emvuou
爽	exvuou
霜	emvovi
霜	exvovi
鹴	emvoua
鹴	exvoua
礵	emvuvo
礵	exvuvo
神	enoaia
深	enaoau
渗	enaaov
绅	enaaia
沈	enaoau
渖	enaooa
婶	enauoo
娠	enauvu
伸	eniiav
申	eniavv
屾	eniaia
瞫	eniavi
肾	eniiuu
莘	eniiov
莘	xbiiov
葚	eniivi
葚	rniivi
侁	eniuvi
审	enooia
谌	enoavi
谌	jnoavi
谂	enoaio
诜	enoauv
诜	xmoauv
呻	enoiav
慎	enoouo
燊	enouvv
哂	enovia
瘆	enovao
身	enuiav
鲹	enuaao
胂	enuiav
矧	enuvav
甡	enuvuv
甚	enviuo
砷	envuia
蜃	envuia
椹	envvii
椹	qnvvii
珅	envvia
上	epivvv
汤	epaauu
汤	tpaauu
绱	epaaio
尚	epioia
赏	epioao
裳	epioov
裳	jpioov
伤	epiuva
商	epovia
晌	epoiui
熵	epouov
觞	epuauv
墒	epvoov
垧	epvoui
殇	epvuuv
刷	eqavii
唰	eqoavu
耍	eqvuau
生	eruvvi
圣	eraovo
绳	eraaoi
陞	eraiuv
渑	eraoia
渑	mmaoia
省	eriuia
省	xgiuia
嵊	eriauv
晟	eroivu
晟	jroivu
昇	eroiuv
剩	eruvii
胜	eruuvv
升	eruvui
甥	eruvia
眚	eruvia
乘	eruviv
乘	jruviv
牲	eruvuv
笙	eruvuv
声	ervoai
盛	ervuia
盛	jrvuia
啥	esoivv
沙	esaiuo
纱	esaaiu
鲨	esaiua
裟	esaiov
傻	esiuia
莎	esiiai
莎	sliiai
铩	esiouo
痧	esovai
唼	esoovo
嗄	esovui
嗄	xsovui
杀	esuovv
煞	esuaoo
刹	esuoii
刹	wsuoii
歃	esuvua
厦	esvuvu
厦	xsvuvu
霎	esvoov
砂	esvuiu
拴	etiuiv
涮	etaavu
闩	etoivv
腨	etuiai
栓	etvivv
瞬	ewiauo
吮	ewoaou
顺	ewuivu
舜	ewuoua
楯	ewvuuu
少	eziuou
绍	ezaaau
邵	ezauai
劭	ezauau
召	ezauoo
召	fzauoo
召	qzauoo
潲	ezauvi
捎	eziuio
蛸	eziaio
蛸	xciaio
苕	eziiau
苕	tciiau
芍	eziiua
烧	ezouva
哨	ezoiou
韶	ezovau
稍	ezuvio
勺	ezuaoo
艄	ezuuio
筲	ezuvio
梢	ezviou
梢	szviou
柖	ezvauo
鞘	ezviio
鞘	qcviio
玿	ezvvau
坠	fbaivo
缀	fbaaao
骓	fbaaio
缒	fbaaui
锥	fbioio
隹	fbiovv
揣	fbiuia
揣	ttiuia
揣	wgiuia
惴	fbooia
赘	fbvvao
椎	fbviov
椎	wbviov
覅	fcviua
周	fduavo
洲	fdaouo
骤	fdaavi
绉	fdaaua
纣	fdaavi
赒	fdaoua
妯	fdauia
婤	fdauua
粥	fdavou
帚	fdavia
昼	fdavoi
胄	fdiauu
荮	fdiiaa
㑇	fdiuaa
州	fdouoi
诌	fdoaua
咒	fdooua
宙	fdooia
啁	fdouav
啁	fzouav
啁	qzouav
啁	tcouav
皱	fduaau
繇	fduoua
繇	yduoua
繇	yzuoua
舟	fduuao
鸼	fduuua
肘	fduvio
籀	fduviu
缶	fduvvi
否	fdvuoo
否	pkvuoo
轴	fdvaia
辀	fdvauu
酎	fdvivi
碡	fdvuvv
着	feouia
着	flouia
着	fzouia
着	qeouia
着	qzouia
浙	feaiuu
浙	qeaiuu
蔗	feiiov
蔗	qeiiov
锗	feiouo
锗	qeiouo
哲	feiuoo
哲	qeiuoo
摺	feiuao
摺	qeiuao
